"Site","Name","Lat","Lon","Start","End","Years","PC","AWS"
41497,"AAC DALBY CAMPUS",-27.1494,151.2894,01/08/85,01/09/12,26.8,96,"  N"
200290,"ABALETI",-11.4167,154.2,01/02/58,01/07/65,7.2,93,"  N"
33259,"ABBOT POINT BULKCOAL",-19.8833,148.075,01/01/91,01/06/91,0.5,100,"  N"
40000,"ABBOTSFORD",-27.95,153.1,01/10/09,01/07/74,64.3,99,"  N"
39000,"ABERCORN",-25.1333,151.1292,01/04/50,01/05/15,65.1,99,"  N"
39319,"ABERCORN TM",-25.1292,151.1306,01/11/00,01/05/15,14.4,91,"  N"
41394,"ABERDEEN",-28.0636,150.6236,01/01/73,01/12/00,28,100,"  N"
36085,"ABERFOYLE",-21.6678,145.2689,01/02/92,01/03/09,33,28,"  N"
32174,"ABERGOWRIE ALERT",-18.4889,145.9364,01/11/00,01/05/15,14.5,95,"  N"
32086,"ABERGOWRIE BRIDGE",-18.5225,146.0019,01/10/68,01/10/03,29.9,83,"  N"
32052,"ABERGOWRIE POST OFFICE",-18.4833,145.8833,01/05/54,01/03/75,20.8,97,"  N"
32123,"ABERGOWRIE ZATTA",-18.4333,145.8333,01/01/75,01/03/75,0.3,99,"  N"
30000,"ABINGDON DOWNS STATION",-17.6036,143.1811,01/04/45,01/03/15,66.6,94,"  N"
35198,"ABOR DOWNS",-22.75,148,01/05/14,01/09/59,38.5,85,"  N"
36060,"ACACIA DOWNS",-22.8333,144.7333,01/10/08,01/12/37,28.3,97,"  N"
40527,"ACACIA RIDGE BCC",-27.6167,153.0433,01/11/74,01/09/91,16.9,100,"  N"
40001,"ACACIA VALE",-26.0167,152.4167,01/11/15,01/02/54,38.3,100,"  N"
33092,"ACACIA VALE GARDENS",-21.3,149.2,01/12/98,01/01/19,15.2,75,"  N"
40499,"ACHIL BOONDOOMA",-26.2239,151.2986,01/01/75,01/04/02,27.3,100,"  N"
41000,"ACLAND POST OFFICE",-27.3033,151.69,01/09/12,01/09/92,77.3,96,"  N"
30100,"ACTION DOWNS STATION",-20.5167,143.2833,01/04/23,01/12/75,23,44,"  N"
31162,"ADAMS",-17.5833,145.6,01/07/53,01/10/77,24.3,99,"  N"
45043,"ADAVALE",-25.9094,144.5989,01/12/85,01/03/15,21.5,71,"  N"
45000,"ADAVALE POST OFFICE",-25.9167,144.6,01/03/89,01/10/85,88.1,91,"  N"
33000,"ADELAIDE PARK",-23.1,150.7,01/11/14,01/12/72,53.5,92,"  N"
30001,"AFTON DOWNS STATION",-21,144,01/07/90,01/08/82,74.2,80,"  N"
30104,"AGATE CREEK CAMP",-19.0425,143.6333,01/07/72,01/09/92,15.3,74,"  N"
200291,"AIOME",-5.1167,144.75,01/05/58,01/12/73,14.6,90,"  N"
40881,"AIR SEA RESCUE ALERT",-27.9525,153.4242,01/11/00,01/05/15,14.6,96,"  N"
43023,"AIRLIE",-26.8025,148.41,01/04/35,01/03/15,79.3,99,"  N"
33180,"AIRLIE BEACH",-20.2917,148.725,01/02/04,01/09/04,0.7,94,"  N"
41332,"AKUNA",-28.0667,152.35,01/02/23,01/12/72,41,82,"  N"
34060,"ALAMEDA DOWNS",-21.7278,148.5697,01/09/72,01/03/10,34.9,92,"  N"
27074,"ALBANY ISLAND",-10.7325,142.6,01/01/05,01/11/05,0.9,93,"  N"
36001,"ALBILBAH",-24.7167,144.2833,01/04/99,01/09/79,68.1,85,"  N"
35209,"ALBINIA DOWNS",-24.4222,148.4828,01/10/73,01/12/12,37.7,95,"  N"
41004,"ALBION",-28.2675,152.0539,01/09/98,01/02/04,5.5,98,"  N"
37102,"ALBION DOWNS",-21.5,142.6833,01/06/19,01/10/78,44.9,76,"  N"
36083,"ALBRO STATION",-22.7044,146.5694,01/01/70,01/04/15,31.8,66,"  N"
44079,"ALBURY",-26.7731,147.3194,01/01/54,01/02/15,61.2,99,"  N"
40224,"ALDERLEY",-27.4193,153.0024,01/07/99,01/04/15,109.3,93,"  N"
37109,"ALDERLEY STATION",-22.4936,139.6615,01/01/20,01/01/15,25.8,27,"  N"
30003,"ALDERLEY STATION",-20.6,144,01/04/10,01/12/45,33.5,94,"  N"
40349,"ALDERSHOT",-25.4667,152.6833,01/01/99,01/06/11,11.8,94,"  N"
35102,"ALDINGA PARK",-24.7822,148.3883,01/12/02,01/05/05,1.7,66,"  N"
37026,"ALDINGHAM",-22.2806,143.22,01/11/01,01/12/04,3.1,97,"  N"
44192,"ALDVILLE",-27.3053,145.1278,01/01/47,01/01/12,57.1,87,"  N"
29096,"ALEHVALE STATION",-18.3078,142.3558,01/06/72,01/12/09,23.7,62,"  N"
33121,"ALEXANDRA",-21.1833,149.1,01/07/71,01/05/14,3.9,9,"  N"
41328,"ALFALFA",-27.9778,151.5592,01/01/59,01/04/01,38.6,91,"  N"
36061,"ALICE DOWNS",-24.2667,145.4833,01/11/90,01/06/11,5,24,"  N"
36000,"ALICE POST OFFICE",-23.5667,145.7833,01/10/89,01/09/72,81.7,98,"  N"
35280,"ALLAMBEE",-24.8706,148.7697,01/10/88,01/03/15,26.5,99,"  N"
36106,"ALLAMBIE",-22.2667,147.35,01/01/73,01/02/85,6.3,52,"  N"
44191,"ALLAMBIE",-26.9353,145.4408,01/01/81,01/04/15,25.9,74,"  N"
32117,"ALLINGHAM  FORREST DRIVE",-18.6867,146.2969,01/05/01,01/04/15,14,97,"  N"
200443,"ALLISON ISLAND",-1.2833,143.5667,01/11/61,01/05/63,1,62,"  N"
41001,"ALLORA POST OFFICE",-28.0356,151.9983,01/01/87,01/04/00,112.4,98,"  N"
41516,"ALLORA TM",-28.0333,152.0167,01/11/08,01/05/15,6.6,96,"  N"
39121,"ALLOWAY",-24.95,152.3833,01/01/59,01/05/76,16.4,94,"  N"
31131,"ALMADEN",-17.3394,144.6797,01/11/72,01/03/15,42.4,100,"  N"
29000,"ALMORA STATION",-18.2952,139.2828,01/08/38,01/03/15,26.9,35,"  N"
37000,"ALNI",-22.1542,142.49,01/06/16,01/03/15,92.1,93,"  N"
31000,"ALOOMBA STATE SCHOOL",-17.1,145.8167,01/06/11,01/07/56,22,48,"  N"
200543,"ALOTAU SUB DISTRICT OFFICE",-10.3,150.4,01/01/67,01/12/73,6.8,83,"  N"
35229,"ALPHA",-23.65,146.645,01/01/91,01/02/04,0.4,1,"  N"
35000,"ALPHA POST OFFICE",-23.65,146.6406,01/01/87,01/04/15,128.2,99,"  N"
40439,"ALPINE PANORAMA",-28.2333,153.2833,01/08/69,01/01/81,11.1,96,"  N"
36064,"ALROY",-23.5,143.4167,01/01/15,01/12/43,28.1,97,"  N"
33295,"ALVA BEACH",-19.4569,147.4833,01/03/97,01/05/15,17.6,94,"  Y"
33109,"ALVA GLEN",-20.9,148.8,01/07/33,01/03/44,10.7,99,"  N"
40491,"AMAMA",-26.3667,152.5661,01/09/72,01/04/01,25.5,88,"  N"
40002,"AMAMOOR",-26.3333,152.6667,01/01/13,01/09/46,31.7,94,"  N"
40003,"AMAMOOR FORESTRY",-26.3664,152.6236,01/01/21,01/04/04,82.1,95,"  N"
44092,"AMBATHALA HEAD STATION",-25.9675,145.3183,01/09/07,01/07/98,26,29,"  N"
44186,"AMBATHALA NO 1 BORE",-25.9,145.1667,01/03/14,01/12/29,14.4,91,"  N"
44185,"AMBATHALA WOOL SHED",-26.1,145.4,01/03/14,01/12/29,14.3,90,"  N"
40816,"AMBERLEY (DNRM) TM",-27.6658,152.6989,01/11/00,01/05/15,14.4,89,"  N"
40910,"AMBERLEY AERO COMPARISON",-27.6294,152.7114,01/09/97,01/10/98,1.2,71,"  N"
40004,"AMBERLEY AMO",-27.6297,152.7111,01/09/41,01/05/15,73.8,99,"  Y"
36002,"AMBO STATION",-22.8103,144.4033,01/02/92,01/12/14,70.8,58,"  N"
200005,"AMBRYM ISLAND",-15.9167,168.15,01/09/39,01/03/00,5.6,9,"  N"
43000,"AMBY",-26.5478,148.185,01/08/00,01/12/09,102,93,"  N"
40171,"AMCOR - PETRIE MILL",-27.2692,152.9839,01/01/87,01/05/13,122.7,97,"  N"
36124,"AMOR DOWNS",-23.8583,144.2958,01/01/49,01/04/01,51.8,99,"  N"
39215,"AMPTHILL TM",-24.7019,151.855,01/08/06,01/05/14,5.4,60,"  N"
35001,"ANAKIE RICHARDSON ST",-23.5522,147.7461,01/10/96,01/04/15,118.1,99,"  N"
40005,"ANDERLEIGH",-26,152.6833,01/12/18,01/03/62,43,99,"  N"
44001,"ANGELLALA DOWNS HOMESTEAD",-26.0178,147.03,01/06/11,01/02/15,99.9,96,"  N"
44106,"ANGELLALA POST OFFICE",-26.4167,146.8833,01/09/12,01/08/28,14.7,91,"  N"
40364,"ANGLESEA",-26.8,152.95,01/01/09,01/11/30,21.9,100,"  N"
41502,"ANNADALE",-28.1167,151.2,01/10/54,01/11/69,15.2,100,"  N"
38027,"ANNANDALE STATION",-25.3833,138.6333,01/01/98,01/08/24,17.8,67,"  N"
39001,"ANNANVALE",-24.1017,151.1033,01/08/12,01/11/09,97,100,"  N"
32000,"ANTIL PLAINS RAILWAY STN",-19.4333,146.8333,01/03/49,01/01/67,17.7,98,"  N"
34019,"APIS CREEK",-23,149.5833,01/01/15,01/03/78,11.7,18,"  N"
39188,"APPLE TREE CREEK",-25.4,152.2167,01/01/14,01/06/20,6.3,97,"  N"
39207,"APPLE TREE CREEK",-25.2342,152.2086,01/04/72,01/08/05,27.3,81,"  N"
41175,"APPLETHORPE",-28.6217,151.9533,01/07/66,01/05/15,46.1,93,"  Y"
35272,"AQUA PARK",-25.7736,149.7728,01/01/82,01/03/15,33,99,"  N"
44000,"ARABELLA",-26.4,146.4833,01/03/07,01/04/52,40.3,89,"  N"
44082,"ARABELLA 2",-26.5167,146.4667,01/05/52,01/12/71,19.5,99,"  N"
42090,"ARALUEN",-26.1167,150.7333,01/03/76,01/08/85,9.3,97,"  N"
35177,"ARALUEN",-22.69,147.6658,01/01/72,01/12/11,33.7,84,"  N"
36004,"ARAMAC POST OFFICE",-22.9717,145.245,01/03/80,01/05/15,127.1,93,"  N"
40266,"ARATULA ELIZABETH ST",-27.9825,152.5475,01/03/50,01/11/99,49.5,99,"  N"
200815,"ARAWA",-6.1667,155.55,01/01/73,01/12/73,0.6,51,"  N"
31001,"ARCHER POINT LIGHTHOUSE",-15.6,145.3333,01/05/12,01/09/57,45.4,100,"  N"
27063,"ARCHER RIVER ROADHOUSE",-13.4381,142.9417,01/01/97,01/04/15,17.4,91,"  N"
40211,"ARCHERFIELD AIRPORT",-27.5717,153.0078,01/03/29,01/05/15,82.8,94,"  Y"
44140,"ARCOONA",-26.8033,147.8742,01/10/72,01/12/02,27.5,90,"  N"
35002,"ARCTURUS DOWNS",-24.0344,148.4064,01/03/95,01/03/15,96.5,80,"  N"
42116,"ARDEN DOWNS TM",-28.23,149.5617,01/11/00,01/05/15,13.8,88,"  N"
41354,"ARDENLEA",-28.8333,151.4833,01/01/68,01/05/84,16.4,100,"  N"
44170,"ARDGLEN",-27.9167,146.5,01/01/15,01/01/23,7.8,96,"  N"
37072,"ARDMORE STATION",-21.6478,139.1832,01/01/15,01/07/03,38.9,44,"  N"
45001,"ARDOCH",-27.4333,144.1167,01/01/90,01/05/51,30.8,50,"  N"
44216,"ARDROSSAN",-28.3178,148.5106,01/05/99,01/09/04,4.8,88,"  N"
44108,"ARDROY",-27.3833,147.1167,01/01/68,01/10/75,7.8,100,"  N"
35003,"ARDURAD",-23.8825,148.9642,01/04/34,01/03/15,64.5,79,"  N"
35265,"ARIZONA",-23.1125,149.1958,01/10/82,01/06/06,21.9,91,"  N"
29002,"ARIZONA",-19.5319,141.3531,01/01/47,01/03/07,51.5,85,"  N"
30004,"ARJUNA STATION",-21.0167,143.4,01/09/14,01/01/56,41.2,99,"  N"
29083,"ARMRAYNALD STATION",-17.6595,139.7565,01/01/70,01/03/15,42.8,94,"  N"
36100,"ARNO",-24.6994,143.7331,01/06/11,01/05/89,43.5,56,"  N"
200377,"AROPA PTN MM9",-6.3333,155.7333,01/11/61,01/12/73,5.2,42,"  N"
45028,"ARRABURY STATION",-26.7614,141.0194,01/02/14,01/12/06,67.8,72,"  N"
36005,"ARRILALAH TELEGRAPH OFF",-23.6833,143.8833,01/07/10,01/01/84,60.9,83,"  N"
30074,"ARTESIAN DOWNS STATION",-20.4775,142.625,01/07/68,01/12/94,24.8,94,"  N"
40339,"ASCOT",-27.4,153.1,01/09/98,01/08/30,31.5,98,"  N"
35114,"ASHGROVE",-23.2,149.0833,01/04/26,01/03/82,54.5,97,"  N"
40326,"ASHGROVE BOWLS CLUB",-27.4428,152.9744,01/05/64,01/12/08,44.2,97,"  N"
36163,"ASHGROVE STATION",-23.4894,144.9889,01/01/93,01/07/04,10.8,93,"  N"
44127,"ASHLING",-27.3878,147.2858,01/01/46,01/12/08,55.8,88,"  N"
40340,"ASHWELL",-27.6,152.6,01/07/90,01/04/29,38.6,99,"  N"
39348,"ATALUMA PARK",-24.4667,151.7983,01/03/98,01/04/99,0.6,41,"  N"
200011,"ATCHIN ISLAND",-15.9167,167.3333,01/01/15,01/09/41,2.5,9,"  N"
31193,"ATHERTON",-17.255,145.4803,01/12/92,01/03/09,16.3,98,"  N"
31161,"ATHERTON CSIRO",-17.2617,145.4733,01/11/72,01/03/92,19.4,94,"  N"
31002,"ATHERTON POST OFFICE",-17.2667,145.4833,01/01/95,01/10/72,71.6,91,"  N"
31217,"ATHERTON SOLAR CRESCENT",-17.2583,145.4739,01/03/09,01/04/15,6.1,83,"  N"
40329,"ATKINSONS DAM",-27.42,152.4506,01/05/97,01/03/15,17.9,100,"  N"
41170,"AUBIGNY PURRAWUNDA",-27.5433,151.6383,01/05/59,01/03/15,26.8,48,"  N"
42059,"AUBURN",-25.9525,150.6142,01/03/87,01/04/14,50.7,39,"  N"
41434,"AUBYNLEA",-28.1167,151.6,01/05/58,01/06/72,7.8,55,"  N"
29003,"AUCKLAND DOWNS STATION",-20.25,141.7667,01/01/16,01/12/50,34.8,99,"  N"
44002,"AUGATHELLA POST OFFICE",-25.7956,146.5858,01/03/89,01/05/15,125.7,98,"  N"
41416,"AUGHAMORE",-27.5744,151.7267,01/01/29,01/08/91,62.7,100,"  N"
29001,"AUGUSTUS DOWNS STATION",-18.5447,139.8706,01/07/89,01/01/15,103.5,82,"  N"
200012,"AUKI",-8.7833,160.7333,01/10/33,01/11/86,26.3,49,"  N"
27000,"AURUKUN SHIRE COUNCIL",-13.3539,141.7208,01/01/14,01/04/15,95.3,93,"  N"
35263,"AUSTRAL PARK",-25.0906,148.7692,01/01/68,01/10/06,35.2,90,"  N"
44188,"AUTHORINGA",-26.6658,146.6083,01/08/90,01/02/12,0.6,2,"  N"
44173,"AUTHORINGA",-26.6667,146.6167,01/02/22,01/06/71,17.6,36,"  N"
35230,"AVIEMORE",-23.4236,147.6958,01/11/73,01/03/15,41.3,99,"  N"
41029,"AVINGTON",-26.5994,150.8997,01/01/11,01/07/94,83.3,99,"  N"
41546,"AVOCA TM",-27.9803,150.515,01/11/00,01/05/15,13.5,87,"  N"
34081,"AVON DOWNS",-21.85,147.25,01/08/88,01/06/48,44.2,74,"  N"
44091,"AVONDALE",-26.5,147.7,01/01/93,01/09/72,28.4,36,"  N"
41379,"AVONDALE",-28.2683,151.5583,01/01/68,01/10/99,31.5,98,"  N"
37096,"AVONDALE",-23.6,143.2667,01/01/19,01/12/74,56,100,"  N"
40006,"AVONMORE",-28.2833,152.9167,01/01/22,01/06/55,33,98,"  N"
